"Story","Title","Result","Date","Stability","Duration (s)"
"Importar departamentos","Importar un archivo con datos invalidos","FAILURE","2023-03-08T11:21:03.8054658-03:00[America/Montevideo]","0.0","16.33"
"Importar departamentos","Importar un archivo con datos validos y pickup autoseleccionado","FAILURE","2023-03-08T11:21:21.8099318-03:00[America/Montevideo]","0.0","19.35"
"Importar departamentos","Importar un archivo con datos validos y pickup no-autoseleccionado","FAILURE","2023-03-08T11:21:42.764308-03:00[America/Montevideo]","0.0","18.87"
